,CHS HF,Hot finished Circular Hollow Sections in accordance with EN 10210,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,UK Edition,Unnamed: 13
0,,Designation,Thickness,Mass,Area,Ratio for,Second,Radius,Elastic,Plastic,Torsional,,Surface,Approx
1,,Outside,,per,of,Local,Moment,of,Modulus,Modulus, Constants,,Area,Length
2,,Diameter,,metre,Section,Buckling,of Area,Gyration,,,,,of,Per
3,,D,t, ,A,D/t,I,r,Z,S,J,C,Section,Tonne
4,Home,mm,mm,kg/m,cm2, ,cm4,cm,cm3,cm3,cm4,cm3,m2/m,m
5,1,21.3,3.2,1.43,1.82,6.7,0.768,0.65,0.722,1.06,1.54,1.44,0.067,700
6,2,26.9,3.2,1.87,2.38,8.4,1.7,0.846,1.27,1.81,3.41,2.53,0.085,535
7,3,33.7,3,2.27,2.89,11.2,3.44,1.09,2.04,2.84,6.88,4.08,0.106,440
8,4,33.7,3.2,2.41,3.07,10.5,3.6,1.08,2.14,2.99,7.21,4.28,0.106,415
9,5,33.7,3.6,2.67,3.4,9.4,3.91,1.07,2.32,3.28,7.82,4.64,0.106,374
10,6,33.7,4,2.93,3.73,8.4,4.19,1.06,2.49,3.55,8.38,4.97,0.106,341
11,7,42.4,3,2.91,3.71,14.1,7.25,1.4,3.42,4.67,14.5,6.84,0.133,343
12,8,42.4,3.2,3.09,3.94,13.3,7.62,1.39,3.59,4.93,15.2,7.19,0.133,323
13,9,42.4,3.6,3.44,4.39,11.8,8.33,1.38,3.93,5.44,16.7,7.86,0.133,290
14,10,42.4,4,3.79,4.83,10.6,8.99,1.36,4.24,5.92,18,8.48,0.133,264
15,11,48.3,2.5,2.82,3.6,19.3,9.46,1.62,3.92,5.25,18.9,7.83,0.152,354
16,12,48.3,3,3.35,4.27,16.1,11,1.61,4.55,6.17,22,9.11,0.152,298
17,13,48.3,3.2,3.56,4.53,15.1,11.6,1.6,4.8,6.52,23.2,9.59,0.152,281
18,14,48.3,3.6,3.97,5.06,13.4,12.7,1.59,5.26,7.21,25.4,10.5,0.152,252
19,15,48.3,4,4.37,5.57,12.1,13.8,1.57,5.7,7.87,27.5,11.4,0.152,229
20,16,48.3,5,5.34,6.8,9.7,16.2,1.54,6.69,9.42,32.3,13.4,0.152,187
21,17,60.3,2.5,3.56,4.54,24.1,19,2.05,6.3,8.36,38,12.6,0.189,281
22,18,60.3,3,4.24,5.4,20.1,22.2,2.03,7.37,9.86,44.4,14.7,0.189,236
23,19,60.3,3.2,4.51,5.74,18.8,23.5,2.02,7.78,10.4,46.9,15.6,0.189,222
24,20,60.3,3.6,5.03,6.41,16.8,25.9,2.01,8.58,11.6,51.7,17.2,0.189,199
25,21,60.3,4,5.55,7.07,15.1,28.2,2,9.34,12.7,56.3,18.7,0.189,180
26,22,60.3,5,6.82,8.69,12.1,33.5,1.96,11.1,15.3,67,22.2,0.189,147
27,23,76.1,2.5,4.54,5.78,30.4,39.2,2.6,10.3,13.5,78.4,20.6,0.239,220
28,24,76.1,3,5.41,6.89,25.4,46.1,2.59,12.1,16,92.2,24.2,0.239,185
29,25,76.1,3.2,5.75,7.33,23.8,48.8,2.58,12.8,17,97.6,25.6,0.239,174
30,26,76.1,3.6,6.44,8.2,21.1,54,2.57,14.2,18.9,108,28.4,0.239,155
31,27,76.1,4,7.11,9.06,19,59.1,2.55,15.5,20.8,118,31,0.239,141
32,28,76.1,5,8.77,11.2,15.2,70.9,2.52,18.6,25.3,142,37.3,0.239,114
33,29,76.1,6,10.4,13.2,12.7,81.8,2.49,21.5,29.6,164,43,0.239,96.4
34,30,76.1,6.3,10.8,13.8,12.1,84.8,2.48,22.3,30.8,170,44.6,0.239,92.2
35,31,88.9,2.5,5.33,6.79,35.6,63.4,3.06,14.3,18.7,127,28.5,0.279,188
36,32,88.9,3,6.36,8.1,29.6,74.8,3.04,16.8,22.1,150,33.6,0.279,157
37,33,88.9,3.2,6.76,8.62,27.8,79.2,3.03,17.8,23.5,158,35.6,0.279,148
38,34,88.9,3.6,7.57,9.65,24.7,87.9,3.02,19.8,26.2,176,39.5,0.279,132
39,35,88.9,4,8.38,10.7,22.2,96.3,3,21.7,28.9,193,43.3,0.279,119
40,36,88.9,5,10.3,13.2,17.8,116,2.97,26.2,35.2,233,52.4,0.279,96.7
41,37,88.9,6,12.3,15.6,14.8,135,2.94,30.4,41.3,270,60.7,0.279,81.5
42,38,88.9,6.3,12.8,16.3,14.1,140,2.93,31.5,43.1,280,63.1,0.279,77.9
43,39,114.3,3,8.23,10.5,38.1,163,3.94,28.4,37.2,325,56.9,0.359,121
44,40,114.3,3.2,8.77,11.2,35.7,172,3.93,30.2,39.5,345,60.4,0.359,114
45,41,114.3,3.6,9.83,12.5,31.8,192,3.92,33.6,44.1,384,67.2,0.359,102
46,42,114.3,4,10.9,13.9,28.6,211,3.9,36.9,48.7,422,73.9,0.359,91.9
47,43,114.3,5,13.5,17.2,22.9,257,3.87,45,59.8,514,89.9,0.359,74.2
48,44,114.3,6,16,20.4,19.1,300,3.83,52.5,70.4,600,105,0.359,62.4
49,45,114.3,6.3,16.8,21.4,18.1,313,3.82,54.7,73.6,625,109,0.359,59.6
50,46,139.7,3.2,10.8,13.7,43.7,320,4.83,45.8,59.6,640,91.6,0.439,92.8
51,47,139.7,3.6,12.1,15.4,38.8,357,4.81,51.1,66.7,713,102,0.439,82.8
52,48,139.7,4,13.4,17.1,34.9,393,4.8,56.2,73.7,786,112,0.439,74.7
53,49,139.7,5,16.6,21.2,27.9,481,4.77,68.8,90.8,961,138,0.439,60.2
54,50,139.7,6,19.8,25.2,23.3,564,4.73,80.8,107,1129,162,0.439,50.5
55,51,139.7,6.3,20.7,26.4,22.2,589,4.72,84.3,112,1177,169,0.439,48.2
56,52,139.7,8,26,33.1,17.5,720,4.66,103,139,1441,206,0.439,38.5
57,53,139.7,10,32,40.7,14,862,4.6,123,169,1724,247,0.439,31.3
58,54,168.3,3.2,13,16.6,52.6,566,5.84,67.2,87.2,1131,134,0.529,76.8
59,55,168.3,3.6,14.6,18.6,46.8,632,5.82,75.1,97.7,1264,150,0.529,68.4
60,56,168.3,4,16.2,20.6,42.1,697,5.81,82.8,108,1394,166,0.529,61.7
61,57,168.3,5,20.1,25.7,33.7,856,5.78,102,133,1712,203,0.529,49.7
62,58,168.3,6,24,30.6,28.1,1009,5.74,120,158,2017,240,0.529,41.6
63,59,168.3,6.3,25.2,32.1,26.7,1053,5.73,125,165,2107,250,0.529,39.7
64,60,168.3,8,31.6,40.3,21,1297,5.67,154,206,2595,308,0.529,31.6
65,61,168.3,10,39,49.7,16.8,1564,5.61,186,251,3128,372,0.529,25.6
66,62,168.3,12,46.3,58.9,14,1810,5.54,215,294,3620,430,0.529,21.6
67,63,168.3,12.5,48,61.2,13.5,1868,5.53,222,304,3737,444,0.529,20.8
68,64,193.7,5,23.3,29.6,38.7,1320,6.67,136,178,2640,273,0.609,43
69,65,193.7,6,27.8,35.4,32.3,1560,6.64,161,211,3119,322,0.609,36
70,66,193.7,6.3,29.1,37.1,30.7,1630,6.63,168,221,3260,337,0.609,34.3
71,67,193.7,8,36.6,46.7,24.2,2016,6.57,208,276,4031,416,0.609,27.3
72,68,193.7,10,45.3,57.7,19.4,2442,6.5,252,338,4883,504,0.609,22.1
73,69,193.7,12,53.8,68.5,16.1,2839,6.44,293,397,5678,586,0.609,18.6
74,70,193.7,12.5,55.9,71.2,15.5,2934,6.42,303,411,5869,606,0.609,17.9
75,71,219.1,5,26.4,33.6,43.8,1928,7.57,176,229,3856,352,0.688,37.9
76,72,219.1,6,31.5,40.2,36.5,2282,7.54,208,273,4564,417,0.688,31.7
77,73,219.1,6.3,33.1,42.1,34.8,2386,7.53,218,285,4772,436,0.688,30.2
78,74,219.1,8,41.6,53.1,27.4,2960,7.47,270,357,5919,540,0.688,24
79,75,219.1,10,51.6,65.7,21.9,3598,7.4,328,438,7197,657,0.688,19.4
80,76,219.1,12,61.3,78.1,18.3,4200,7.33,383,515,8400,767,0.688,16.3
81,77,219.1,12.5,63.7,81.1,17.5,4345,7.32,397,534,8689,793,0.688,15.7
82,78,219.1,16,80.1,102,13.7,5297,7.2,483,661,10590,967,0.688,12.5
83,79,244.5,5,29.5,37.6,48.9,2699,8.47,221,287,5397,441,0.768,33.9
84,80,244.5,6,35.3,45,40.8,3199,8.43,262,341,6397,523,0.768,28.3
85,81,244.5,6.3,37,47.1,38.8,3346,8.42,274,358,6692,547,0.768,27
86,82,244.5,8,46.7,59.4,30.6,4160,8.37,340,448,8321,681,0.768,21.4
87,83,244.5,10,57.8,73.7,24.5,5073,8.3,415,550,10150,830,0.768,17.3
88,84,244.5,12,68.8,87.7,20.4,5938,8.23,486,649,11880,972,0.768,14.5
89,85,244.5,12.5,71.5,91.1,19.6,6147,8.21,503,673,12290,1006,0.768,14
90,86,244.5,16,90.2,115,15.3,7533,8.1,616,837,15070,1232,0.768,11.1
91,87,273,5,33,42.1,54.6,3781,9.48,277,359,7562,554,0.858,30.3
92,88,273,6,39.5,50.3,45.5,4487,9.44,329,428,8974,657,0.858,25.3
93,89,273,6.3,41.4,52.8,43.3,4696,9.43,344,448,9392,688,0.858,24.1
94,90,273,8,52.3,66.6,34.1,5852,9.37,429,562,11700,857,0.858,19.1
95,91,273,10,64.9,82.6,27.3,7154,9.31,524,692,14310,1048,0.858,15.4
96,92,273,12,77.2,98.4,22.8,8396,9.24,615,818,16790,1230,0.858,12.9
97,93,273,12.5,80.3,102,21.8,8697,9.22,637,849,17390,1274,0.858,12.5
98,94,273,16,101,129,17.1,10710,9.1,784,1058,21410,1569,0.858,9.86
99,95,323.9,5,39.3,50.1,64.8,6369,11.3,393,509,12740,787,1.02,25.4
100,96,323.9,6,47,59.9,54,7572,11.2,468,606,15140,935,1.02,21.3
101,97,323.9,6.3,49.3,62.9,51.4,7929,11.2,490,636,15860,979,1.02,20.3
102,98,323.9,8,62.3,79.4,40.5,9910,11.2,612,799,19820,1224,1.02,16
103,99,323.9,10,77.4,98.6,32.4,12160,11.1,751,986,24320,1501,1.02,12.9
104,100,323.9,12,92.3,118,27,14320,11,884,1168,28640,1768,1.02,10.8
105,101,323.9,12.5,96,122,25.9,14850,11,917,1213,29690,1833,1.02,10.4
106,102,323.9,16,121,155,20.2,18390,10.9,1136,1518,36780,2271,1.02,8.23
107,103,355.6,6.3,54.3,69.1,56.4,10550,12.4,593,769,21090,1186,1.12,18.4
108,104,355.6,8,68.6,87.4,44.5,13200,12.3,742,967,26400,1485,1.12,14.6
109,105,355.6,10,85.2,109,35.6,16220,12.2,912,1195,32450,1825,1.12,11.7
110,106,355.6,12,102,130,29.6,19140,12.2,1076,1417,38280,2153,1.12,9.83
111,107,355.6,12.5,106,135,28.4,19850,12.1,1117,1472,39700,2233,1.12,9.45
112,108,355.6,16,134,171,22.2,24660,12,1387,1847,49330,2774,1.12,7.46
113,109,406.4,6.3,62.2,79.2,64.5,15850,14.1,780,1009,31700,1560,1.28,16.1
114,110,406.4,8,78.6,100,50.8,19870,14.1,978,1270,39750,1956,1.28,12.7
115,111,406.4,10,97.8,125,40.6,24480,14,1205,1572,48950,2409,1.28,10.2
116,112,406.4,12,117,149,33.9,28940,14,1424,1867,57870,2848,1.28,8.57
117,113,406.4,12.5,121,155,32.5,30030,13.9,1478,1940,60060,2956,1.28,8.24
118,114,406.4,16,154,196,25.4,37450,13.8,1843,2440,74900,3686,1.28,6.49
119,115,457,6.3,70,89.2,72.5,22650,15.9,991,1280,45310,1983,1.44,14.3
120,116,457,8,88.6,113,57.1,28450,15.9,1245,1613,56890,2490,1.44,11.3
121,117,457,10,110,140,45.7,35090,15.8,1536,1998,70180,3071,1.44,9.07
122,118,457,12,132,168,38.1,41560,15.7,1819,2377,83110,3637,1.44,7.59
123,119,457,12.5,137,175,36.6,43140,15.7,1888,2470,86290,3776,1.44,7.3
124,120,457,16,174,222,28.6,53960,15.6,2361,3113,107900,4723,1.44,5.75
125,121,508,6.3,77.9,99.3,80.6,31250,17.7,1230,1586,62490,2460,1.6,12.8
126,122,508,8,98.6,126,63.5,39280,17.7,1546,2000,78560,3093,1.6,10.1
127,123,508,10,123,156,50.8,48520,17.6,1910,2480,97040,3820,1.6,8.14
128,124,508,12,147,187,42.3,57540,17.5,2265,2953,115100,4530,1.6,6.81
129,125,508,12.5,153,195,40.6,59760,17.5,2353,3070,119500,4705,1.6,6.55
130,126,508,16,194,247,31.8,74910,17.4,2949,3874,149800,5898,1.6,5.15
131,127,Seamless,,,,,,,,,,,,
132,128,193.7,16,70.1,89.3,12.1,3554,6.31,367,507,7109,734,0.609,14.3
133,129,219.1,20,98.2,125,11,6261,7.07,572,795,12520,1143,0.688,10.2
134,130,244.5,20,111,141,12.2,8957,7.97,733,1011,17910,1465,0.768,9.03
135,131,244.5,25,135,172,9.8,10520,7.81,860,1210,21030,1721,0.768,7.39
136,132,273,20,125,159,13.7,12800,8.97,938,1283,25600,1875,0.858,8.01
137,133,273,25,153,195,10.9,15130,8.81,1108,1543,30250,2216,0.858,6.54
138,134,323.9,20,150,191,16.2,22140,10.8,1367,1850,44280,2734,1.02,6.67
139,135,323.9,25,184,235,13,26400,10.6,1630,2239,52800,3260,1.02,5.43
140,136,355.6,20,166,211,17.8,29790,11.9,1676,2255,59580,3351,1.12,6.04
141,137,355.6,25,204,260,14.2,35680,11.7,2007,2738,71350,4013,1.12,4.91
142,138,406.4,20,191,243,20.3,45430,13.7,2236,2989,90860,4472,1.28,5.25
143,139,406.4,25,235,300,16.3,54700,13.5,2692,3642,109400,5384,1.28,4.25
144,140,406.4,32,295,376,12.7,66430,13.3,3269,4497,132900,6539,1.28,3.38
145,141,457,20,216,275,22.9,65680,15.5,2874,3822,131400,5749,1.44,4.64
146,142,457,25,266,339,18.3,79420,15.3,3475,4671,158800,6951,1.44,3.75
147,143,457,32,335,427,14.3,97010,15.1,4246,5791,194000,8491,1.44,2.98
148,144,457,40,411,524,11.4,114900,14.8,5031,6977,229900,10060,1.44,2.43
149,145,508,20,241,307,25.4,91430,17.3,3600,4766,182900,7199,1.6,4.15
150,146,508,25,298,379,20.3,110900,17.1,4367,5837,221800,8734,1.6,3.36
151,147,508,32,376,479,15.9,136100,16.9,5360,7261,272300,10720,1.6,2.66
152,148,508,40,462,588,12.7,162200,16.6,6385,8782,324400,12770,1.6,2.17
153,149,508,50,565,719,10.2,190900,16.3,7515,10530,381800,15030,1.6,1.77
154,150,559,20,266,339,28,123200,19.1,4406,5813,246300,8813,1.76,3.76
155,151,559,25,329,419,22.4,149800,18.9,5360,7134,299600,10720,1.76,3.04
156,152,559,32,416,530,17.5,184600,18.7,6605,8898,369200,13210,1.76,2.4
157,153,559,40,512,652,14,220900,18.4,7903,10800,441800,15810,1.76,1.95
158,154,559,50,628,800,11.2,261400,18.1,9353,13000,522900,18710,1.76,1.59
159,155,610,20,291,371,30.5,161500,20.9,5295,6965,323000,10590,1.92,3.44
160,156,610,25,361,459,24.4,196900,20.7,6456,8561,393800,12910,1.92,2.77
161,157,610,32,456,581,19.1,243400,20.5,7980,10700,486800,15960,1.92,2.19
162,158,610,40,562,716,15.3,292300,20.2,9585,13020,584700,19170,1.92,1.78
163,159,610,50,691,880,12.2,347600,19.9,11400,15720,695100,22790,1.92,1.45
164,160,660,20,316,402,33,206100,22.6,6245,8195,412200,12490,2.07,3.17
165,161,660,25,392,499,26.4,251800,22.5,7629,10090,503500,15260,2.07,2.55
166,162,660,32,496,631,20.6,312000,22.2,9456,12630,624100,18910,2.07,2.02
167,163,660,40,612,779,16.5,375900,22,11390,15400,751800,22780,2.07,1.64
168,164,660,50,752,958,13.2,448700,21.6,13600,18650,897300,27190,2.07,1.33
