,SHS Jumbo,JUMBO SHS in accordance with JIS G3136,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,Designation,,Mass,Area,Ratios for,,Second,Radius,Elastic,Plastic,Torsional,,Surface,Approx
1,,Size,Thickness,per,of,Local Buckling,,Moment,of,Modulus,Modulus,Constants,,Area,Length
2,,D x B,t,metre,Section,Flange,Web,of Area,Gyration,,,,,of,per
3,,,,,A,,,I,r,Z,S,J,C,Section,Tonne
4,Home,mm x mm,mm,kg/m,cm2,b/t,d/t,cm4,cm,cm3,cm3,cm4,cm3,m2/m,m
5,1,350x350,19,190,242,15.4,15.4,43360,13.4,2478,2967,70930,3738,1.33,5.26
6,2,350x350,22,217,276,12.9,12.9,48350,13.2,2763,3343,80180,4178,1.32,4.61
7,3,350x350,25,242,309,11,11,52890,13.1,3022,3695,88880,4581,1.31,4.12
8,4,400x400,22,251,320,15.2,15.2,74710,15.3,3735,4476,122400,5637,1.52,3.98
9,5,400x400,25,282,359,13,13,82150,15.1,4108,4967,136100,6210,1.51,3.55
10,6,450x450,12,162,207,34.5,34.5,65430,17.8,2908,3371,102400,4367,1.76,6.17
11,7,450x450,16,213,271,25.1,25.1,84070,17.6,3736,4376,133500,5617,1.75,4.7
12,8,450x450,19,250,318,20.7,20.7,97060,17.5,4314,5092,155800,6492,1.73,4
13,9,450x450,22,286,364,17.5,17.5,109200,17.3,4854,5775,177200,7315,1.72,3.5
14,10,450x450,25,321,409,15,15,120600,17.2,5359,6427,197700,8088,1.71,3.12
15,11,450x450 ‡,28,355,452,13.1,13.1,131200,17,5830,7047,217300,8813,1.7,2.82
16,12,450x450 ‡,32,399,509,11.1,11.1,144100,16.8,6404,7826,242000,9707,1.69,2.5
17,13,500x500,12,181,231,38.7,38.7,90750,19.8,3630,4196,141500,5449,1.96,5.53
18,14,500x500,16,238,303,28.3,28.3,117100,19.6,4682,5461,184800,7035,1.95,4.2
19,15,500x500,19,280,356,23.3,23.3,135500,19.5,5422,6368,216100,8153,1.93,3.58
20,16,500x500,22,320,408,19.7,19.7,153000,19.4,6120,7239,246200,9213,1.92,3.12
21,17,500x500,25,360,459,17,17,169400,19.2,6778,8074,275300,10220,1.91,2.78
22,18,500x500 ‡,28,399,508,14.9,14.9,184900,19.1,7396,8874,303300,11160,1.9,2.51
23,19,500x500 ‡,32,450,573,12.6,12.6,204000,18.9,8161,9886,338900,12340,1.89,2.22
24,20,500x500 ‡,36,498,635,10.9,10.9,221500,18.7,8860,10840,372500,13430,1.88,2.01
25,21,550x550,16,263,335,31.4,31.4,157700,21.7,5734,6666,247900,8613,2.15,3.8
26,22,550x550,19,309,394,25.9,25.9,183000,21.5,6656,7787,290200,10000,2.13,3.23
27,23,550x550,22,355,452,22,22,207100,21.4,7532,8868,331300,11330,2.12,2.82
28,24,550x550,25,399,509,19,19,230000,21.3,8362,9909,371000,12590,2.11,2.5
29,25,550x550 ‡,28,443,564,16.6,16.6,251600,21.1,9149,10910,409400,13790,2.1,2.26
30,26,550x550 ‡,32,500,637,14.2,14.2,278600,20.9,10130,12190,458600,15300,2.09,2
31,27,550x550 ‡,36,555,707,12.3,12.3,303500,20.7,11040,13390,505400,16700,2.08,1.8
32,28,550x550 ‡,40,608,775,10.8,10.8,326500,20.5,11870,14540,549800,18000,2.06,1.64
33,29,600x600 ‡,25,439,559,21,21,303400,23.3,10110,11930,486600,15220,2.31,2.28
34,30,600x600 ‡,28,487,620,18.4,18.4,332700,23.2,11090,13160,537700,16700,2.3,2.05
35,31,600x600 ‡,32,550,701,15.8,15.8,369400,23,12310,14730,603400,18570,2.29,1.82
36,32,600x600 ‡,36,611,779,13.7,13.7,403700,22.8,13460,16220,666300,20330,2.28,1.64
37,33,600x600 ‡,40,671,855,12,12,435500,22.6,14520,17640,726400,21970,2.26,1.49
38,34,600x600 ‡,45,743,947,10.3,10.3,472000,22.3,15730,19320,797600,23870,2.25,1.35
39,35,600x600 ‡,50,813,1036,9,9,504900,22.1,16830,20880,864200,25610,2.23,1.23
40,36,650x650 ‡,25,478,609,23,23,391000,25.3,12030,14140,623900,18100,2.51,2.09
41,37,650x650 ‡,28,531,676,20.2,20.2,429500,25.2,13210,15610,690300,19890,2.5,1.88
42,38,650x650 ‡,32,600,765,17.3,17.3,478100,25,14710,17510,775900,22170,2.49,1.67
43,39,650x650 ‡,36,668,851,15.1,15.1,523700,24.8,16110,19320,858200,24320,2.48,1.5
44,40,650x650 ‡,40,734,935,13.3,13.3,566400,24.6,17430,21050,937200,26340,2.46,1.36
45,41,650x650 ‡,45,814,1037,11.4,11.4,615900,24.4,18950,23100,1031400,28700,2.45,1.23
46,42,650x650 ‡,50,891,1136,10,10,661000,24.1,20340,25030,1120300,30880,2.43,1.12
47,43,700x700 ‡,25,517,659,25,25,494100,27.4,14120,16540,784900,21220,2.71,1.93
48,44,700x700 ‡,28,575,732,22,22,543500,27.2,15530,18280,869200,23360,2.7,1.74
49,45,700x700 ‡,32,651,829,18.9,18.9,606200,27,17320,20530,978300,26080,2.69,1.54
50,46,700x700 ‡,36,724,923,16.4,16.4,665400,26.9,19010,22690,1083700,28660,2.68,1.38
51,47,700x700 ‡,40,797,1015,14.5,14.5,721200,26.7,20610,24760,1185200,31110,2.66,1.26
52,48,700x700 ‡,45,885,1127,12.6,12.6,786300,26.4,22470,27220,1306700,33980,2.65,1.13
53,49,700x700 ‡,50,970,1236,11,11,846300,26.2,24180,29560,1422100,36650,2.63,1.03
54,50,750x750 ‡,25,556,709,27,27,613800,29.4,16370,19120,971300,24600,2.91,1.8
55,51,750x750 ‡,28,619,788,23.8,23.8,676000,29.3,18030,21160,1076600,27110,2.9,1.62
56,52,750x750 ‡,32,701,893,20.4,20.4,755300,29.1,20140,23790,1213200,30310,2.89,1.43
57,53,750x750 ‡,36,781,995,17.8,17.8,830600,28.9,22150,26320,1345400,33370,2.88,1.28
58,54,750x750 ‡,40,859,1095,15.8,15.8,901900,28.7,24050,28760,1473200,36280,2.86,1.16
59,55,750x750 ‡,45,955,1217,13.7,13.7,985500,28.5,26280,31680,1626800,39710,2.85,1.05
60,56,750x750 ‡,50,1048,1336,12,12,1063300,28.2,28350,34460,1773500,42920,2.83,0.954
61,57,800x800 ‡,25,596,759,29,29,751500,31.5,18790,21900,1185200,28220,3.11,1.68
62,58,800x800 ‡,28,663,844,25.6,25.6,828500,31.3,20710,24250,1314600,31130,3.1,1.51
63,59,800x800 ‡,32,751,957,22,22,927100,31.1,23180,27290,1482800,34870,3.09,1.33
64,60,800x800 ‡,36,837,1067,19.2,19.2,1021100,30.9,25530,30230,1646100,38440,3.08,1.19
65,61,800x800 ‡,40,922,1175,17,17,1110400,30.7,27760,33070,1804400,41840,3.06,1.08
66,62,800x800 ‡,45,1026,1307,14.8,14.8,1215800,30.5,30400,36480,1995200,45880,3.05,0.975
67,63,800x800 ‡,50,1127,1436,13,13,1314400,30.3,32860,39740,2178300,49680,3.03,0.887
