0,10,15,20,25,30,35,40,50
90,165,165,165,165,165,165,165,165
95,165,165,165,163,163,163,163,163
100,165,165,165,157,157,157,157,157
105,165,165,160,152,152,152,152,152
110,165,165,156,147,147,147,147,147
115,165,165,152,141,141,141,141,141
120,165,162,148,136,136,136,136,136
130,165,155,139,126,126,126,126,126
140,165,149,130,115,115,115,115,115
150,165,143,122,104,104,104,104,104
160,163,136,113,95,94,94,94,94
170,159,130,104,91,85,82,82,82
180,155,124,96,87,80,76,72,71
190,151,118,93,83,77,72,68,62
200,147,111,89,80,73,68,64,59
210,143,105,87,77,70,65,61,55
220,139,99,84,74,67,62,58,52
230,134,95,81,71,64,59,55,49
240,130,92,78,69,61,56,52,47
250,126,90,76,66,59,54,50,44
260,122,88,74,64,57,52,48,42
270,118,86,72,62,55,50,46,40
280,114,84,70,60,53,48,44,39
290,110,82,68,58,51,46,42,37
300,106,80,66,56,49,44,41,36
