name,b_in,d_in,b,d,area,ixx,iyy,c,zxx,zyy
2x2,2,2,50.8,50.8,2580.64,554975.234133333,554975.234133333,25.4,21849.4186666667,21849.4186666667
2x3,2,3,50.8,76.2,3870.96,1873041.4152,832462.8512,25.4,73741.788,32774.128
2x4,2,4,50.8,101.6,5161.28,4439801.87306667,1109950.46826667,25.4,174795.349333333,43698.8373333333
2x5,2,5,50.8,127,6451.6,8671488.03333333,1387438.08533333,25.4,341397.166666667,54623.5466666667
2x6,2,6,50.8,152.4,7741.92,14984331.3216,1664925.7024,25.4,589934.304,65548.256
2x7,2,7,50.8,177.8,9032.24,23794563.1634667,1942413.31946667,25.4,936793.825333333,76472.9653333334
2x8,2,8,50.8,203.2,10322.56,35518414.9845333,2219900.93653333,25.4,1398362.79466667,87397.6746666667
2x9,2,9,50.8,228.6,11612.88,50572118.2104,2497388.5536,25.4,1991028.276,98322.384
2x10,2,10,50.8,254,12903.2,69371904.2666667,2774876.17066667,25.4,2731177.33333333,109247.093333333
3x3,3,3,76.2,76.2,5806.44,2809562.1228,2809562.1228,38.1,73741.788,73741.788
3x4,3,4,76.2,101.6,7741.92,6659702.8096,3746082.8304,38.1,174795.349333333,98322.384
3x5,3,5,76.2,127,9677.4,13007232.05,4682603.538,38.1,341397.166666667,122902.98
3x6,3,6,76.2,152.4,11612.88,22476496.9824,5619124.2456,38.1,589934.304,147483.576
3x7,3,7,76.2,177.8,13548.36,35691844.7452,6555644.9532,38.1,936793.825333333,172064.172
3x8,3,8,76.2,203.2,15483.84,53277622.4768,7492165.6608,38.1,1398362.79466667,196644.768
3x9,3,9,76.2,228.6,17419.32,75858177.3156,8428686.3684,38.1,1991028.276,221225.364
3x10,3,10,76.2,254,19354.8,104057856.4,9365207.076,38.1,2731177.33333333,245805.96
4x4,4,4,101.6,101.6,10322.56,8879603.74613333,8879603.74613333,50.8,174795.349333333,174795.349333333
4x6,4,6,101.6,152.4,15483.84,29968662.6432,13319405.6192,50.8,589934.304,262193.024
4x8,4,8,101.6,203.2,20645.12,71036829.9690667,17759207.4922667,50.8,1398362.79466667,349590.698666667
4x9,4,9,101.6,228.6,23225.76,101144236.4208,19979108.4288,50.8,1991028.276,393289.536
4x10,4,10,101.6,254,25806.4,138743808.533333,22199009.3653333,50.8,2731177.33333333,436988.373333333
